filename	Polymer-Y_20260527
instrument_name	0550-1823 (192.168.0.3)
instrument_type	TGA5500
operator	Demo Operator
rundate	05/27/2026
sample_name	Polymer-Y
sample mass	10.500 mg
pan_type	Alumina
procedure_name	Char yield with gas and without air cool
proceduresegments	Ramp 10.0 C/min to 900 C; Isothermal 5.0 min
trios_version	5.1.1.46572
gas_type	N2
flow_rate	50 mL/min
[File Parameters]
Name	Polymer-Y_20260527
Instrument type	TGA5500
Instrument serial number	0550-1823 (192.168.0.3)
Instrument name	0550-1823 (192.168.0.3)
Instrument location	Lab
Company name	eConversion
Trios version	5.1.1.46572
File name	C:\Mock\Polymer-Y_20260527.tri
Run date	05/27/2026 12:00:00 PM
[Procedure]
Procedure Name	Char yield with gas and without air cool
Sample Name	Polymer-Y
Sample Mass	10.500 mg
Pan Type	Alumina
[step]
Temperature Ramp - Mock
time	temperature	weight	dta	purge_flow
min	C	mg	C	mL/min
0.000000e+00	3.000000e+01	1.049697e+01	-1.273370e-02	2.500000e+01
2.500000e-01	3.250000e+01	1.049637e+01	-1.568758e-02	2.750000e+01
5.000000e-01	3.500000e+01	1.049766e+01	2.461827e-02	3.000000e+01
7.500000e-01	3.750000e+01	1.051474e+01	-2.930452e-03	3.250000e+01
1.000000e+00	4.000000e+01	1.049732e+01	9.187332e-03	3.500000e+01
1.250000e+00	4.250000e+01	1.046856e+01	-3.691425e-03	3.750000e+01
1.500000e+00	4.500000e+01	1.050698e+01	1.232456e-02	4.000000e+01
1.750000e+00	4.750000e+01	1.049439e+01	-2.325283e-03	4.250000e+01
2.000000e+00	5.000000e+01	1.049544e+01	1.526821e-02	4.500000e+01
2.250000e+00	5.250000e+01	1.050243e+01	-3.677891e-03	4.750000e+01
2.500000e+00	5.500000e+01	1.050488e+01	1.657086e-02	5.000000e+01
2.750000e+00	5.750000e+01	1.052443e+01	1.341607e-02	5.000000e+01
3.000000e+00	6.000000e+01	1.051379e+01	-2.379614e-03	5.000000e+01
3.250000e+00	6.250000e+01	1.050232e+01	-1.726601e-02	5.000000e+01
3.500000e+00	6.500000e+01	1.048450e+01	-1.890617e-02	5.000000e+01
3.750000e+00	6.750000e+01	1.047869e+01	-1.496614e-02	5.000000e+01
4.000000e+00	7.000000e+01	1.050517e+01	-1.990866e-02	5.000000e+01
4.250000e+00	7.250000e+01	1.052753e+01	1.700234e-02	5.000000e+01
4.500000e+00	7.500000e+01	1.050087e+01	-1.377188e-03	5.000000e+01
4.750000e+00	7.750000e+01	1.049777e+01	3.077592e-02	5.000000e+01
5.000000e+00	8.000000e+01	1.051117e+01	4.471401e-02	5.000000e+01
